Room No,"  ลักษณะของความเสียหายที่พบ (เลือกได้มากกว่า 1 ข้อ)  
Types of damage found (more than one option may be selected)",Image Link,Damage Types
2409,ผนังแตกร้าว  / Cracked wall,"https://drive.google.com/open?id=1uQDdtBcDO_bglFE9-mxCMLJ9d5fDBvpi, https://drive.google.com/open?id=1GWYJQ7J1lOy4syUBNNGbGs8KdxZHeZzv",ผนังแตกร้าว  / Cracked wall
2415,ผนังแตกร้าว  / Cracked wall,https://drive.google.com/open?id=1xswRIIyDSIZZBmuOnxIsK5t_epjk8hY1,ผนังแตกร้าว  / Cracked wall
2808,เฟอร์นิเจอร์เสียหาย  / Damaged furniture,https://drive.google.com/open?id=1ZLyoUO00vSbz_9Qb8LKqcpBuNsUIgNQl,เฟอร์นิเจอร์เสียหาย  / Damaged furniture
2902,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture",,ผนังแตกร้าว  / Cracked wall
2902,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture",,กระเบื้องหลุด/แตก  Tile loose/broken
2902,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture",,ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows
2902,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows, เฟอร์นิเจอร์เสียหาย  / Damaged furniture",,เฟอร์นิเจอร์เสียหาย  / Damaged furniture
2914,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=15tV-HRDnN_hHdIeXJOcq2n9NKZYZUAqX, https://drive.google.com/open?id=1atlODvb4Dh36CFNTRK_8__zfoUZmYeGX, https://drive.google.com/open?id=1tD0jYVM8fV7MbpMtFWxm9L9FVWQTc5MT, https://drive.google.com/open?id=18JngQ1gt73Pdvm2GM-WDw_h-_ZgTrP5I, https://drive.google.com/open?id=1ZJGq88VJbV-jUkJmuB1Yx0Fg1q1vqEgK",ผนังแตกร้าว  / Cracked wall
2914,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=15tV-HRDnN_hHdIeXJOcq2n9NKZYZUAqX, https://drive.google.com/open?id=1atlODvb4Dh36CFNTRK_8__zfoUZmYeGX, https://drive.google.com/open?id=1tD0jYVM8fV7MbpMtFWxm9L9FVWQTc5MT, https://drive.google.com/open?id=18JngQ1gt73Pdvm2GM-WDw_h-_ZgTrP5I, https://drive.google.com/open?id=1ZJGq88VJbV-jUkJmuB1Yx0Fg1q1vqEgK",กระเบื้องหลุด/แตก  Tile loose/broken
3101,ผนังแตกร้าว  / Cracked wall,https://drive.google.com/open?id=1lXngsZHBgK_l7ORQStqHJqwpAmCifN2W,ผนังแตกร้าว  / Cracked wall
